,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
128,Streetlight Manifesto,Me and Julio Down by the School Yard,+,+,+,+,-,=,+,-,+,-,+,+,10.14227265,14.81027886
129,Judas Priest,Troubleshooter,+,+,+,+,-,=,+,-,+,+,+,+,3.41818125,12.25953538
130,Amerie,Tell Me You Love Me,+,+,+,+,-,=,+,+,-,+,+,+,-7.81792376,-17.2651195
131,Billy Talent,Worker Bees,+,+,+,=,-,=,+,-,+,-,-,+,21.4766981,-2.296590432
132,Demi Lovato,Hold Up,+,+,+,+,-,=,+,-,-,-,+,+,10.19143247,14.4326328
133,Bowling For Soup,If Only,-,+,+,+,-,=,+,-,-,+,+,+,-22.85234746,4.949380232
134,Skindred,Straight Jacket,+,+,+,+,-,=,+,-,+,-,+,+,-9.505012335,10.82111719
135,Alien Ant Farm,Smooth Criminal,+,+,+,+,-,-,+,-,+,-,+,+,-11.34619434,9.503923436
136,NCT,Best Day Ever,+,+,+,=,-,-,-,-,-,-,+,+,19.62739179,-3.54911276
137,Empire of the Sun,Half Mast - Slight Return,+,+,+,+,-,-,-,-,+,-,+,+,0.542629144,11.13638732
138,Jess Glynne,I'll Be There,+,+,+,+,-,=,+,-,-,+,-,+,47.69495243,-9.887053306
139,Mike Perry,All Star,+,+,+,+,-,=,+,-,-,+,-,+,41.23323591,-6.788609101
140,La Sonora Dinamita,Cumbia Barulera,-,+,+,+,-,=,-,+,-,-,+,+,-18.73019646,-18.64832965
141,Blu-Swing,Flash,+,+,+,+,-,=,+,-,+,-,+,+,4.760248501,9.731442416
142,Never Shout Never,Love Is Our Weapon,-,+,+,+,-,=,-,+,+,-,+,+,-21.73884132,4.156255117
143,Gym Class Heroes,The Fighter (feat. Ryan Tedder),+,+,+,+,-,=,+,-,-,+,-,+,38.90769546,-12.09761224
144,Kelis,Home,+,+,+,+,-,=,+,-,+,+,+,+,-7.780823773,13.04342066
145,Sugar Ray,Mr. Bartender (It's So Easy),+,+,+,+,-,-,+,-,+,-,+,+,0.045423797,7.255254142
146,Billy Ocean,License to Chill,+,+,+,=,-,=,+,+,-,-,+,+,-10.59723041,-3.847370398
147,Park Sang Min,A Loved One,-,+,+,+,-,=,-,-,+,-,+,+,-22.97537696,21.17597657
148,The Rolling Stones,Rock And A Hard Place,+,+,+,+,-,-,+,-,+,-,+,+,0.27136253,13.18998053
