,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
48,Louis Prima,Rhythm On The Radio - Alternate Take,-,+,+,=,-,-,+,+,-,+,+,-16.71081779597418,0.7147814990963051
49,Loren Allred,This Summer,+,+,+,=,-,-,+,+,-,-,+,21.560538261261055,-7.006177493042495
50,George Jones,I'm with the Wrong One - Remastered,-,+,+,+,-,-,+,+,-,+,+,-15.444740116048482,9.899415417488331
51,The Beatles,Good Day Sunshine - Remastered 2009,+,+,+,+,-,-,+,=,-,+,+,36.026340059837054,-23.3524571908342
52,Spoon,Dear Mr. Landlord (Home Demo),+,+,+,+,-,-,+,+,-,+,+,-9.767706330614102,-12.742225720392502
53,InsideOut A Cappella,What's On Your Mind - Pure Energy,-,+,+,+,-,-,-,+,-,+,+,-16.534298458711607,-10.949879221490848
54,The Click,So High,-,+,+,+,-,-,+,=,-,+,+,-15.724154403371895,8.779498877103675
55,Dead Kennedys,Darren's Mom - Live at the Farm,+,-,+,+,-,-,+,+,+,+,+,1.8805919197700405,-11.502389117029045
56,Julia Michaels,Give It To You (from Songland),+,-,+,+,-,-,+,=,-,+,+,47.83320012929266,-4.995207649328837
57,The Notorious B.I.G.,Juicy - Radio Edit; 2014 Remaster,+,+,+,+,-,-,-,=,-,+,+,18.631566900754883,1.8883887585110848
58,The Osborne Brothers,Head Over Heels,-,+,+,+,-,-,+,+,-,+,+,-16.278034631845113,-9.9199959954763
59,Jessie J,Rudolph The Red-Nosed Reindeer / Jingle Bells,+,-,+,+,-,-,-,=,-,-,+,14.336600594030163,17.688324451039193
60,Jonas Brothers,Make It Right,+,+,+,+,-,-,+,=,-,-,+,23.554041076255988,21.573449855150372
61,Jerry Garcia,When The Hunter Gets Captured By The Game,+,+,+,+,-,-,+,+,-,+,+,18.634817896221175,-18.70360190867719
62,I Prevail,Every Time You Leave (Feat. Delaney Jane) - Live Acoustic,+,+,+,+,-,-,+,=,-,-,+,38.93581347208929,17.130766757317065
63,Sawyer Brown,This Night Won't Last Forever,+,+,+,=,-,-,+,=,-,+,+,-12.095270732869619,-1.4413136510176086
64,Jewel Akens,The Birds And The Bees - Re-Recording,+,+,+,=,-,-,+,=,-,+,+,-11.67043501530957,0.25829813205034025
65,Nate Husser,JELLY,+,+,+,=,-,+,-,=,-,-,+,18.87007041872663,-5.404461094682585
66,JR JR,Too Good to Be True,+,+,+,+,-,-,+,+,+,+,+,-6.484448001098874,-7.858327873305595
67,Yoko Ono,I'm Moving On - Remastered 2010,+,+,+,+,-,-,-,+,-,+,+,4.395386613604814,6.792022921013911
68,Jósean Log,Reflexión del Pasto,+,+,-,+,-,+,+,=,-,+,+,22.704887230308955,-23.036577737771346
69,Sawyer Brown,They Don't Understand,+,+,+,+,-,-,+,=,-,-,+,10.180069996214813,25.80044551073005
70,The Mamas & The Papas,Look Through My Window,+,-,+,=,-,-,+,=,-,-,+,15.687403039812862,-5.759935051902806
71,Nio Garcia,Bipolar - Remix,+,+,+,+,-,-,+,+,-,-,+,21.834403478641462,6.452951446194737
72,Carole King,Believe In Humanity - Live at The Montreux Jazz Festival 1973,+,+,+,+,-,-,-,+,-,+,+,-4.581115055249152,7.996595487729422
73,George Harrison,Save The World - Remastered 2004,+,+,+,+,-,-,-,+,+,+,+,-2.266112405471561,-15.72162129482747
74,Mac Wiseman,Are You Coming Back to Me?,-,+,+,+,-,-,+,+,-,+,+,-16.253017738465406,10.787330379920007
75,Patsy Raye and the Beatniks,Beatnik's Wish,-,+,+,+,-,-,+,+,+,-,+,-20.30398866781813,-5.410441364748207
76,Bumpin Uglies,The Cave,+,+,+,+,-,-,+,+,-,+,+,4.279748423595132,-14.276770418717051
77,Doc Watson,Handsome Molly,+,+,+,+,-,-,+,+,+,+,+,-4.412664086448863,-7.811223993279543
78,Hazel Dickens,The Yablonski Murder,+,+,+,=,-,-,+,+,-,+,+,-9.201409075187307,1.887264073117501
79,The Walker Brothers,Turn On Your Love Light - Live In Japan,-,+,+,=,-,-,+,+,+,-,+,-18.48196618452566,-2.2475287377866846
80,Del The Funky Homosapien,Press Rewind,+,+,+,+,-,-,-,=,-,+,+,34.94952702689297,1.1896341287390113
81,salem ilese,Impatient - Fish Fox Remix,+,+,+,=,-,-,+,+,-,+,+,12.364823094667207,-6.67881705396217
82,Blueface,Gfym,+,+,+,=,-,+,+,=,-,+,+,15.152541226860164,0.3436057208634238
83,Patty Loveless,Nothin' Like The Lonely,-,+,+,+,-,-,+,=,-,+,+,-11.18900470455029,10.425239238140254
