,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
135,The Vamps,Married In Vegas - Acoustic,+,+,+,+,-,-,+,+,-,-,+,27.46281876234203,0.10589506196770725
136,B.J. Thomas,(They Long To Be) Close To You,+,-,+,+,-,-,+,+,-,-,+,-10.340249401803247,9.694529162483835
137,Stevie Wonder,Blowin' In The Wind,+,+,+,=,-,-,-,=,-,+,+,24.515671939501225,-7.55527043522266
138,Anarbor,Pushaway,+,+,+,+,-,-,+,+,-,-,+,2.664604738274199,-16.61424099495549
139,Lorrie Morgan,Dangerously Blue,-,+,+,+,-,-,+,=,-,-,+,-13.098006742250876,15.153053165350103
140,Wu-Tang Clan,The Projects,+,+,+,+,-,-,-,=,-,+,+,26.260930912527925,11.78716281644933
141,Railroad Earth,Real Love,+,+,+,=,-,-,-,+,-,+,+,-1.9871516457497886,-2.24032462376347
142,Buddy & Stacey,Angel,-,+,+,+,-,-,+,=,-,+,+,-20.826406564102527,-7.499953971514981
143,The Weepies,Fancy Things,+,+,+,+,-,-,-,+,-,+,+,4.332170991646196,-18.18812632623762
144,Horace Silver,How Did It Happen - Rudy Van Gelder Edition,+,+,+,+,-,-,+,+,-,+,+,-9.745263750270809,-8.530145968705398
145,DMX,Wrong Or Right (I'm Tired) (feat. Bzr Royale),+,+,+,+,-,+,-,=,+,+,+,0.9353838900972,5.318088702046942
146,Indigo Girls,Mrs. Robinson,-,+,+,+,-,-,+,+,-,+,+,-15.571403717516175,13.51420270181219
147,T. Rex,Seagull Woman - 2016 Remaster,+,+,+,+,-,-,-,+,-,+,+,-6.760335333802018,-13.083918219007044
148,The Slits,Lazy Slam,+,+,+,+,-,-,-,=,+,+,+,-6.304373269688434,5.226834174335314
149,Finzy Kontini,Tea for Two - Radio Edit,-,+,+,+,-,-,+,+,-,+,+,-20.15023761628379,-13.039047760416201
150,Common,Rain,-,+,+,+,-,-,+,=,-,-,+,-18.988022481113536,-8.39435318795833
151,Something For Kate,The Astronaut - Live Acoustic,=,+,+,+,-,-,+,+,+,-,+,-8.364336748100811,9.355111033661146
152,Vybz Kartel,Dons & Divas (feat. Danii Boo) [Dons],+,+,+,+,-,-,-,=,-,+,+,24.242318806000497,-0.40348943283179933
153,Jefferson Airplane,White Rabbit,+,+,+,+,-,-,+,=,+,+,+,-8.973564663872985,-9.566698922069937
154,Walter Beasley,Skip to My Lew (feat. Phil Davis),+,+,+,=,-,-,+,+,-,+,+,-6.559686113583281,-4.036540234299576
155,Premiere Cast,Why Not Me?,+,-,+,+,-,-,+,+,-,-,+,10.833066309621442,7.80157387615243
156,Dokken,"Nothing Left to Say - Live at Kosei Nenkin Hall, Tokyo",-,+,+,+,-,-,+,+,-,+,+,-16.840929683618537,-3.9300452926386056
157,Blossoms,Falling For Someone - Acoustic,+,+,+,+,-,-,+,+,-,-,+,8.723982379223889,3.4918738484656586
158,BTS,First Love,+,+,+,+,-,-,-,=,-,+,+,36.76891549641638,8.467066551751936
159,The Notorious B.I.G.,Hypnotize,-,+,+,+,-,-,-,=,-,+,+,-15.493623912834085,13.816790363726328
160,Ramones,Danny Says - 2002 Remaster,+,+,+,+,-,-,+,+,-,+,+,12.077751572452398,-20.191666045804077
161,Ramones,Danny Says,-,+,+,+,-,-,+,+,-,+,+,-19.935941403998214,-12.184694341128317
162,Julieta Venegas,Eres para Mí (with La Mala Rodríguez) - Unplugged (En Vivo),+,+,+,+,-,-,-,=,+,+,+,34.22107890924653,-1.7189976170578496
163,Stephen Marley,Made In Africa,+,+,+,+,-,-,-,=,-,+,+,18.6773870939686,2.0714819093806667
164,Mac & Jake,Yakety Yak,-,+,+,+,-,-,+,+,-,+,+,-15.2212115838718,10.78927347444952
165,Chase Rice,Eyes On You,+,+,+,+,-,-,-,=,-,+,+,18.646676529340382,1.9497103787272982
166,Prince,Dear Mr. Man,+,+,+,+,-,-,-,+,-,+,+,18.25475041065233,12.744982570833805
167,Robert Gordon,A Mess of Blues,-,+,+,+,-,-,-,+,-,+,+,-21.157434706763357,-12.94722451110564
168,Jerry Lee Lewis,Railroad to Heaven,-,+,+,+,-,-,-,+,-,+,+,-8.084998606501234,31.08004118195057
169,The Dukes Of Stratosphear,Brainiac's Daughter - 2001 Mix,-,+,+,+,-,-,-,=,+,+,+,-12.10091032025368,10.896427653857168
170,4LYN,Hollow Man,-,+,+,+,-,-,+,+,-,-,+,-17.98804378605161,-12.64135478553772
171,Jazztronik,Parade!,+,+,+,+,-,-,-,=,-,-,+,-4.481878340419646,12.509671819006877
172,Seal,Love Won't Let Me Wait,+,+,+,+,-,-,+,+,-,-,+,7.323503358160618,-14.474330243875269
173,Collin Raye,Sadly Ever After,+,+,+,+,-,-,-,=,-,+,+,-9.285931655235641,-14.93950834721298
174,Grandmaster Flash,"Swagger feat. Red Café, Snoop Dogg & Lynda Carter - Grandmaster Flash Street Leak mix",-,+,+,+,-,-,-,=,-,+,+,-15.049591206705827,11.474471153087904
175,The Walker Brothers,Everything Under The Sun,-,-,+,=,-,-,-,=,-,+,+,-18.70891642915676,0.9651622432266268
176,Everything Everything,Choice Mountain,+,+,+,+,-,-,-,+,-,+,+,1.411056396369666,-13.385306511623385
177,Wu-Tang Clan,Crushed Egos,+,+,+,+,-,-,+,=,-,+,+,12.64252778034953,23.284791494998306
178,John Mayall & The Bluesbreakers,Key To Love - The BBC Sessions (Sat Club 14/3/66),-,+,+,+,-,-,-,+,+,-,+,-11.84668429396213,7.792102829262584
179,B.J. Thomas,Walkin' Back,-,-,+,+,-,-,+,=,-,-,+,-15.392799062035317,14.220986535446977
180,Steely Dan,Ida Lee - Version 1,+,+,+,+,-,-,-,+,-,+,+,-6.036018087018704,-14.308441332794551
181,The Arcadian Wild,Whispers,+,+,+,+,-,-,+,+,-,+,+,8.218746371078378,-10.891267449927184
182,Horace Silver,Total Response - Remastered 2004,-,+,+,=,-,-,+,+,-,+,+,-15.922858605648562,3.8634396645972107
183,Georgia Stitt,"Onward, Beyond",-,+,+,=,-,-,+,=,-,-,+,-17.849898405417058,0.2755604924711206
184,Cannonball Adderley,Heads Up! Feet Down! - 2006 Digital Remaster,-,-,+,+,-,-,-,+,+,+,+,-9.520078529336182,21.220321585735565
185,Blossoms,Sunday Was A Friend Of Mine - Acoustic,+,+,+,+,-,-,+,=,-,+,+,9.678769812996789,-13.300504313339522
186,Stevie Wonder,I Wish - Live/1995,+,+,+,=,-,-,-,+,+,+,+,7.072785191897482,-3.108456445768799
187,"Bobby ""Blue"" Bland",Farther Up the Road,-,+,+,=,-,-,+,=,-,+,+,-17.50560487370278,1.6548970459045125
188,Descendents,Iceman - Live,=,-,+,+,-,-,+,=,+,-,+,-13.549989575520659,-11.379935126475123
189,Glee Cast,An Innocent Man (Glee Cast Version),+,+,+,=,-,-,-,=,-,+,+,16.96348426955914,-8.902023352089785
190,The Marvelettes,The Hunter Gets Captured By The Game - Stereo Version,-,+,+,+,-,-,+,+,-,+,+,-18.76193285705209,-7.490502778494803
191,Adam Sandler,The Chanukah Song,+,-,+,+,-,-,+,+,+,-,+,-7.000244403218514,10.689078517931224
192,Milky Chance,Flashed Junk Mind,+,+,+,+,-,-,-,+,-,+,+,38.775190508267066,-24.72467813648287
193,Josh Pyke,Warm in Winter,+,+,+,+,-,-,+,+,-,+,+,8.118397320906709,9.314201049722953
194,Alma Cogan,This Ole House,-,+,+,=,-,-,+,=,-,+,+,-17.61195771553231,-2.89080172848923
195,Jack & Jack,Lotta Love,+,+,+,=,-,-,-,=,-,+,+,-6.565795861963225,0.05511931027352546
196,One Direction,Gotta Be You - Live,+,-,+,+,-,-,-,=,+,-,+,24.52820731888469,13.102953929322622
197,Terence Trent D'Arby,T.I.T.S./F&J,+,+,+,+,-,-,+,=,-,+,+,5.972535642357233,13.099257450190573
198,Famous Dex,Drippy Intro,+,-,+,+,-,+,-,=,-,-,+,2.6688041966405147,16.3730873288803
199,The Cure,The Empty World - 2006 Remaster,-,+,+,+,-,-,-,+,-,+,+,-13.548211581570115,13.354952950175004
200,Ashford & Simpson,Gimme Something Real,=,-,+,=,-,-,+,+,+,-,+,-12.019598861839334,-5.259992117114209
