,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
67,Yellow Claw,Ride Or Die (feat. Kalibwoy),+,+,+,=,-,=,-,+,-,-,+,+,14.097869485295487,-14.923430071889673
68,Living Things,Take No Prisoners,+,-,+,=,-,=,+,-,-,-,+,+,-9.831602636939698,-20.225351618939417
69,Sum 41,Black Eyes,+,-,+,=,-,=,-,-,-,+,+,+,0.8071979322118897,6.1654852333169945
70,Gob,"Extra, Extra",+,-,+,=,-,=,-,-,+,-,+,+,-10.558656797459115,32.78325061082843
71,Various Artists,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]",+,+,+,=,-,=,-,+,-,-,+,+,37.756159906463104,10.233990108014336
72,Rick Ross,Presidential - Album Version (Edited),-,+,+,=,-,=,+,+,-,-,+,+,-24.020503563004592,-6.560476471663667
73,We The Kings,Rain Falls Down,+,+,+,=,-,=,-,-,-,+,+,+,-1.7633096850566352,-25.150630305090004
74,Olly Murs,A Million More Years,+,-,+,=,-,=,-,+,-,+,+,+,-0.24657192932988226,10.084474994225593
75,Nakary,Sin Tabú,+,+,+,=,-,=,+,+,-,-,+,+,44.75255189420839,10.461832008026628
76,Lamb of God,Boot Scraper,+,-,+,=,-,=,-,-,+,+,+,+,5.792262625643146,7.293009202612525
77,Tesla,Make It Last,-,-,+,=,-,=,-,+,-,-,+,+,-14.060465416920941,-3.558370277155764
78,The Killers,Sweet Talk,+,-,+,=,=,=,-,+,-,-,+,+,24.7565368624598,10.067954753964067
79,The Shore,It Ain't Right,-,-,+,=,-,=,-,+,-,+,+,+,-23.85688885311396,-18.480556331810398
80,Yellowcard,Shrink The World,+,-,+,=,-,=,-,-,-,-,+,+,7.8521415127672824,2.935817318695752
81,Richie Sambora,Taking a Chance On the Wind,-,-,+,=,-,=,-,-,-,+,+,+,-19.048937451850037,-4.414290123022451
82,Chrisette Michele,Epiphany (I'm Leaving),-,+,+,=,-,=,=,+,-,+,+,+,-23.00878466152568,-7.427928514544935
83,Moneybagg Yo,Homicide,+,+,+,=,-,=,-,+,-,+,+,+,17.302553226958498,-29.81712724429421
84,Train,New Sensation,+,-,+,=,-,-,-,+,-,+,+,+,-9.963822700085872,-10.572910101464684
85,Bon Jovi,Taking It Back,+,-,+,=,-,=,-,-,+,-,+,+,-7.201489687492539,6.770789655306201
86,BTS,FAKE LOVE (Rocking Vibe Mix),+,+,+,=,-,-,-,+,-,+,+,+,36.09738653670231,-14.713360463860681
87,Beloved,Only Our Faces Hide,+,-,+,=,-,=,-,-,+,+,+,+,2.8534068912214323,2.861203851148345
88,Saosin,It's Far Better To Learn,+,-,+,=,-,-,-,-,+,-,+,+,21.724592915083857,12.380055252283002
89,The Suicide Machines,The Real You - Live,-,-,+,=,-,=,-,+,-,+,+,+,-21.170856308423723,4.367818533619287
90,Light The Torch,Calm Before the Storm,-,-,+,=,-,-,-,-,+,+,+,+,-24.010257709592366,-7.276620493987366
91,Quietdrive,London,+,-,+,=,-,=,-,-,-,-,+,+,-4.000647378529399,-7.860950040152294
92,Sak Noel,Demasiado Loca - Moombahteam Remix,+,+,+,=,-,=,+,-,+,-,+,+,-12.461172542950559,25.729807914745425
93,The Used,Hands and Faces,+,-,+,=,-,=,+,+,+,-,+,+,-7.106827079230344,-0.12713723267976795
94,We The Kings,You and Only You,+,-,+,=,-,=,-,+,-,-,+,+,2.898867473154785,-0.4333297274912041
95,Dierks Bentley,Every Mile A Memory,+,-,+,=,-,=,-,+,+,-,+,+,-9.214566660386996,7.699029075458546
96,Goldfinger,Don't Say Goodbye,+,-,+,=,-,=,+,-,+,+,+,+,-2.521941435955792,30.114839100335413
97,Armor For Sleep,Always a Wish,+,-,+,=,-,=,-,-,-,-,+,+,-4.040754587756079,-4.926319457569054
98,Descendents,One More Day,+,-,+,=,-,=,+,-,-,+,+,+,4.6984946638428635,14.15699194277787
99,A Rocket To The Moon,I Do,+,+,+,=,-,=,-,+,-,+,+,+,5.250198209760616,-26.033670608126105
100,Megadeth,The Threat Is Real,+,-,+,=,-,=,+,-,+,+,+,+,3.1001296708750044,-15.150454689769512
101,Lamb of God,For Your Malice,+,+,+,=,-,=,-,-,+,-,+,+,7.8648994601493,2.0605826977538064
102,Boys Night Out,I Got Punched in the Nose for Sticking My Face in Other People's Business,+,-,+,=,-,=,+,+,-,+,+,+,9.605594802261288,20.947140971101447
103,Hawthorne Heights,Desperation,+,+,+,=,-,=,-,-,-,+,+,+,-11.915629531354567,-14.130364380303986
104,Go Radio,"Live, Learn, Let Go",+,-,+,=,-,=,-,+,-,-,+,+,16.781695695929763,8.167513552367588
105,All Time Low,A Daydream Away,+,+,+,=,-,=,-,+,-,-,+,+,13.894451052863177,-0.06059536463002561
106,Angels & Airwaves,Overload,+,-,+,=,-,=,-,-,-,-,+,+,12.823497999899631,5.0919110900794
107,Mudcrutch,Beautiful World,+,+,+,=,-,=,-,+,+,-,+,+,-3.809890660360229,-21.771803120898326
108,Pharoahe Monch,Free,-,+,+,=,-,-,+,-,+,+,+,+,-24.116484654631616,0.49597274052470575
109,Anti-Nowhere League,Good as It Gets,-,-,+,=,-,=,-,+,-,-,+,+,-14.243804624165985,9.829644922379275
110,Filter,What's Next,-,-,+,=,-,=,-,-,+,-,+,+,-20.213861156004942,7.640624266193171
111,The Interrupters,Gave You Everything,+,-,+,=,-,=,-,-,+,+,+,+,27.985879283823657,-6.660117637832136
112,The Darkness,Love Is Only a Feeling,-,-,+,=,-,=,-,+,+,-,+,+,-23.941564694921848,-12.294829374014581
113,Seven Lions,Cold Hearted,+,-,+,=,-,=,-,-,+,+,+,+,18.166707793707847,-19.888826502270074
114,Rick Ross,Dope Dick,-,+,+,=,-,=,+,+,-,+,+,+,-23.078520160549672,-2.34989478778781
115,Underoath,"Everyone Looks So Good From Here - Live In Omaha, Nebraska, 2007",-,-,+,=,-,=,-,+,+,+,+,+,-13.224036248838637,8.355023221588388
116,Terri Clark,I Just Called To Say Goodbye,=,+,+,=,-,=,-,+,-,-,+,+,-6.160110437487846,3.8061380151650774
117,Sleepy Rose,Jump,+,+,+,=,-,=,+,+,-,-,+,+,-10.939500720453667,-12.281074280736403
118,Kip Moore,Mary Was The Marrying Kind,+,+,+,=,-,=,-,+,-,-,+,+,16.835703037704764,4.194936417079667
119,Jimmy Eat World,Blister,+,-,+,=,-,=,-,+,-,+,+,+,7.9292967932253635,-2.7097017374067387
120,Buffalo Tom,"Lolly, Lolly, Lolly, Get Your Adverbs Here",+,-,+,=,-,=,+,+,-,+,+,+,-10.125464307194271,1.1552437449734283
121,Late of the Pier,Space and the Woods - Radio Edit,-,+,+,=,-,=,-,-,+,+,+,+,-22.925387583941518,-13.481152805542186
122,BTS,No More Dream - Japanese Ver.,+,+,+,=,-,=,+,+,-,+,+,+,13.918436894921538,-1.8899075192340486
123,Meek Mill,In God We Trust,+,+,+,=,-,=,+,+,-,-,+,+,19.272486416769127,-27.61774133018625
124,Goldfinger,Orthodontist Girl,+,+,+,=,-,=,-,+,+,+,+,+,8.064767027312541,-12.577077932342709
125,Lamb of God,Another Nail For Your Coffin,+,-,+,=,-,=,+,-,+,-,+,+,16.17127840795253,-20.24710289364979
126,Adam Lambert,Time for Miracles,+,-,+,=,-,=,-,+,-,+,+,+,9.19655554842133,-22.131032871814
127,Pat Benatar,Temptation - Remastered,-,-,+,=,-,=,-,+,+,+,+,+,-18.959976070500957,-10.945632799691346
128,Quality Control,Double Trouble,+,+,+,=,-,=,+,+,-,-,+,+,-2.036382778009205,-5.178813165890722
129,Bayside,Devotion And Desire,+,-,+,=,-,-,-,-,-,+,+,+,29.695140033708228,14.558356209484689
130,The Cult,Amnesia,+,-,+,=,-,=,-,-,+,+,+,+,-9.831454072267057,-20.246187129673544
131,The Maccabees,Happy Faces,+,-,+,=,-,=,+,+,-,-,+,+,-10.197284994751017,6.458679630548798
132,Deante' Hitchcock,Gimme Yo Money,-,+,+,=,-,=,+,+,-,-,+,+,-22.098637543141038,-0.7685793264476365
133,Avril Lavigne,"Sk8er Boi - Live at The Point, Dublin, Ireland - March 2003",+,-,+,=,-,=,-,-,-,+,+,+,-4.8583669006366055,-18.276778819556696
134,Jaden,NOIZE,+,+,+,=,-,=,-,+,-,-,+,+,-8.967715467905354,-10.214073854688035
135,The 1975,Sex - EP Version,+,-,+,=,-,=,-,-,+,+,+,+,17.18927990918659,-21.594878382192682
136,Dance Hall Crashers,State of Mind,-,-,+,=,-,=,-,+,+,+,+,+,-14.232699301234668,8.951283106016858
137,Eminem,Leaving Heaven (feat. Skylar Grey),+,+,+,=,-,-,+,+,-,+,+,+,15.864333325776576,2.1456000322839017
138,Two Door Cinema Club,Do You Want It All? - Demo,-,-,+,=,-,=,-,+,+,-,+,+,-23.88243324078217,-16.570902775934563
139,Trey Anastasio,Love Is Freedom,-,-,+,=,-,=,-,+,-,+,+,+,-15.246111898840118,9.950582081450145
140,Kid Cudi,Girls - Edited Version,+,-,+,=,-,=,+,+,-,-,+,+,-8.59646662850076,35.59751229424273
141,ILLENIUM,Where'd U Go,+,+,+,=,-,=,-,+,+,-,+,+,32.670706134723844,16.429991584331415
142,Tesla,Heaven Nine Eleven,-,-,+,=,-,=,-,-,+,-,+,+,-22.077082244580527,-2.3839473828089845
143,Judas Priest,On the Run,+,-,+,=,-,=,-,+,+,+,+,+,2.1303806937174996,-17.40668229373448
144,Bayside,Devotion And Desire - Live,+,-,+,=,-,=,+,-,+,+,+,+,-11.328719178109612,15.987884056846681
145,MC5,Gold (1971),-,-,+,=,-,=,+,+,+,-,+,+,-19.92894723270917,-13.209407927681562
146,The Jam,"In The Street Today - Live At The 100 Club, London / 1977",-,-,+,=,-,=,+,+,+,+,+,+,-17.49754719824216,28.208958047863998
147,KAROL G,A Ella,+,+,+,=,-,=,+,+,+,-,+,+,31.726686368521637,12.263075147996275
148,E-Dubble,Graceland,+,+,+,=,-,=,+,+,-,-,+,+,7.838015926336398,4.023764688203321
149,Red Hot Chili Peppers,Animal Bar,+,+,+,=,-,=,-,+,+,-,+,+,24.20911370868228,-22.963362802142658
150,Jesse & Joy,Una y otra vez,+,-,+,=,-,=,-,-,-,+,+,+,0.23616866868879197,-25.11468715236462
151,Louis XIV,Misguided Sheep,-,-,+,=,-,=,-,-,+,-,+,+,-24.10940412840837,-0.11058117559074804
152,The Heavy,What Makes A Good Man?,+,-,+,=,-,=,-,-,+,+,+,+,31.669844467143896,16.46359935394047
153,Alexandra Stan,I Think I Love It,+,+,+,=,-,-,-,+,+,+,+,+,-2.9951327424862826,-8.179737103826461
154,Faber Drive,Never Coming Down,=,-,+,=,-,=,-,-,-,+,+,+,-5.995905237190521,-8.20369912488649
155,Jay Park,Clap (feat. Tiger JK & Tasha),+,+,+,=,-,=,+,+,-,+,+,+,-8.136040964775969,1.986244207136445
