,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
231,Fall Out Boy,Champion - Remix,+,+,+,=,-,=,=,+,-,-,+,+,27.643627402647915,18.376387228659336
232,WC,Hustla feat. Juvenille,+,+,+,=,-,=,+,+,-,+,+,+,-12.051701865412655,-4.223281857940245
233,Colt Ford,Trailer Park Pulp Fiction,+,+,+,=,-,=,-,+,-,+,+,+,-9.518249776246186,29.828465922751473
234,blessthefall,Stay Still,+,-,+,=,-,-,-,-,+,-,+,+,8.080303020344067,-13.623131599155764
235,John Waite,Better Off Gone,-,-,+,=,-,=,-,-,-,-,+,+,-18.32999893124906,16.043242594997828
236,My Chemical Romance,The End.,+,-,+,=,-,=,-,+,-,+,+,+,19.821587941850733,5.224470603857359
237,EverAfter,Chapter Three,-,-,+,=,-,=,-,+,-,+,+,+,-24.250539011653082,10.186589446938383
238,Color Me Badd,I Wanna Sex You Up,-,+,+,=,-,=,-,+,-,-,+,+,-23.540281116942882,31.434991424402916
239,Pusha T,King Push,+,-,+,=,-,=,+,+,+,-,+,+,17.725717881797856,12.183244292152507
240,The Damned,Neverland,-,-,+,=,-,=,+,-,+,-,+,+,-13.073387222198154,-2.6737364116724787
241,Spose,I Can’t Get Mad (feat. Cam Groves),+,+,+,=,-,=,+,+,-,+,+,+,-3.244180502498518,9.851798431794096
242,Sean Paul,Jukin' Punny,-,+,+,=,-,=,+,+,-,+,+,+,-16.30212240157891,14.08156333227375
243,Jordin Sparks,Battlefield,+,+,+,=,-,=,-,+,-,-,+,+,1.2380246229260305,-25.16167961452137
244,Demi Lovato,Mistake,+,+,+,=,-,=,-,+,-,-,+,+,14.028584048189648,-9.855811818654018
245,Journey,Like a Sunshower,+,-,+,=,-,=,-,+,-,-,+,+,3.841211542696952,3.7039782963634713
246,Less Than Jake,Malt Liquor Tastes Better When You've Got Problems,+,-,+,=,-,=,-,+,-,-,+,+,0.8776460904446607,1.0642861461147948
247,Kodak Black,Still Got Luv Fa Ya,+,+,-,=,-,=,+,+,-,-,+,+,6.685237447861498,15.10867362834745
248,MC5,Gold,-,-,+,=,-,=,+,+,+,-,+,+,-16.92662883254297,-13.360221812064617
249,Foreign Air,Lying,+,-,+,=,-,=,-,-,+,-,+,+,14.590131563690694,22.154243315465
