artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
Gwen Stefani,Misery - Lincoln Jesser Remix,-,=,-,=,--,=,=,--,--,=,-,=,12.167123309877331,-9.173087443286674
Sen Morimoto,Jupiter,--,=,=,=,--,=,++,--,--,+,=,=,-22.307052688340292,-3.1624410262689406
K.A.A.N.,Bottom,-,=,=,=,--,=,=,=,--,=,=,=,1.927507824397785,-3.4673137834941015
Danger Danger,Walk It Like Ya Talk It (feat. Paul Laine),--,=,=,=,--,=,+,--,--,++,-,=,3.6913448515517193,-19.03867728865232
Jazztronik,Humming Bird,--,=,=,=,--,=,+,=,-,=,=,=,-0.2601758839507801,-15.843087223069832
Sir-G,Escape - Radio Mix,--,=,=,=,--,=,=,--,++,++,=,=,-19.175663254741266,0.7358973168532783
Tommy James & The Shondells,Moses & Me,-,=,=,=,--,=,=,++,++,++,=,=,-23.072662032481173,15.459731888830326
Dio,In Dreams,=,=,=,=,--,=,-,--,--,=,-,=,32.14712774168943,-6.0377788737133695
George Baker Selection,Little Green Bag,--,=,=,=,--,=,=,--,=,=,=,=,0.02181027024820045,-14.785445222081929
Jerrod Niemann,I Ain't Lonely Alone,-,=,=,=,--,=,=,=,--,-,=,=,-13.047066399116508,3.4963875055975886
Billy Preston,Lonely No More,--,=,=,=,--,=,=,--,++,-,=,=,2.394736146423116,-20.561883381937058
Paulina Rubio,El Ultimo Adios,--,-,=,=,--,=,+,--,-,=,-,=,-16.403512644672016,3.638321588301666
Carole King,Crazy,--,=,=,=,--,=,-,+,=,++,=,=,-18.448690802771416,0.14754787839199116
Michael Bolton,Let's Make A Long Story Longer,-,=,=,=,--,=,++,=,--,-,-,=,8.67512455108185,-14.066343871038587
The Kooks,Westside - The Nextmen Remix,=,=,=,=,--,=,=,-,++,=,=,=,-3.2922583973244355,18.757079165780603
Arrested Development,Mr. Wendal,--,=,=,=,--,=,++,=,++,=,=,=,-6.391743212093461,-12.172778988502092
Paulina Rubio,Enamorada,--,-,=,=,--,=,+,--,--,=,=,=,-20.162319293178076,-1.038389516177044
Rachael Yamagata,I Want You,+,=,=,=,--,=,=,--,++,=,-,=,3.150642499612386,31.551704883430723
Jamie T,Sheila,--,=,=,=,--,=,=,-,--,=,=,=,4.709867286689619,-22.43438291622636
Five For Fighting,Stand Up,=,=,=,=,--,=,-,--,--,=,-,=,15.080934862113205,-2.527395205353435
