artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
a-ha,Cry Wolf - Demo,-,=,=,=,--,--,+,+,++,=,=,=,-17.093721285046524,6.768784652939317
Matt Nathanson,Surrender,--,=,-,=,--,=,=,++,--,=,-,=,-15.137752294230378,2.6155284004147528
Hilltop Hoods,Chase That Feeling - Remix Instrumental,-,=,=,=,--,=,=,--,++,++,=,=,8.037549611268146,-13.550900848227872
The Byrds,All I Have Are Memories - Alternate Instrumental - Take 21,=,-,-,=,--,=,=,=,--,=,=,=,2.7930454723979317,20.266521616767086
Ñejo & Dalmata,Algo Musical,--,=,=,=,--,=,+,=,--,+,-,=,3.4454857046018965,-23.983692995813772
Mary Mary,Somebody,--,=,=,=,--,=,=,--,++,+,=,=,10.292706662432682,-28.233187838276987
Joy Division,She's Lost Control - 2010 Remaster,=,=,=,=,--,=,++,=,++,=,=,=,-12.236977759181796,31.132171602618538
Joy Division,She's Lost Control,--,=,=,=,--,=,++,=,++,=,=,=,-30.469844525799985,8.580952136579374
Poppy Ajudha,David's Song - Tom Misch Remix,--,=,-,+,--,=,=,++,++,=,-,+,-39.669133592701314,19.8776205217824
Montgomery Gentry,All I Know About Mexico,=,=,=,=,--,=,=,--,--,++,-,=,-9.28410180968715,12.027733786179672
Kodak Black,Benji's,=,=,-,=,--,=,=,--,--,=,--,=,-4.42745256154278,22.247784614284793
XTC,I'm Bugged - 2001 Remaster,-,=,=,=,--,=,=,-,--,++,-,=,-11.127518396144243,5.802457440820386
Juicy J,Lit (feat. Young Dolph & 21 Savage),-,=,=,=,--,=,++,--,--,=,=,=,-6.327718187281048,7.06460653243931
Glee Cast,Billionaire (Glee Cast Version),++,=,=,=,--,--,++,++,--,=,=,=,42.389433323418494,11.400220463469275
Material Issue,What Girls Want,--,=,=,=,--,=,=,-,--,++,=,=,-24.542710796921646,-1.3547950886961337
Toby Keith,Haven't Had a Drink All Day,=,=,=,=,--,=,=,++,--,-,=,=,15.69000711272937,0.8374213493260099
Aretha Franklin,Freeway of Love - Extended Remix,--,=,=,=,--,--,+,++,--,=,=,=,-15.108398798632733,2.590856843695172
Darius Rucker,One More Night,=,=,-,=,--,=,+,--,--,-,-,=,0.05759252664147847,7.047945120874001
