,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
135,Neil Diamond,Brother Love's Traveling Salvation Show - Live At Delta Center / 1993,-,-,+,+,-,+,+,-,+,+,+,16.586708179785326,-1.5976355299875127
136,MJX,Suavemente,-,+,+,=,-,+,-,-,-,+,+,6.49658661554874,-11.531600661174108
137,Mark Guiliana,GIRL,-,+,+,+,-,-,-,+,-,+,+,25.33755586089368,12.120123312006
138,William Murphy,Free In Deed,-,+,-,+,-,-,+,-,-,-,+,-15.147927680134156,-15.231965514204937
139,VaShawn Mitchell,"Turning Around ""Siyakudumisa"" - Live",-,+,+,=,-,+,+,-,-,-,+,-1.2078946740201113,-2.2011811077585985
140,Cassius,Go Up,-,+,+,=,-,+,+,-,-,+,+,-3.9490862070562347,16.731989330469045
141,Azealia Banks,Out of Space,-,+,+,+,-,+,+,-,-,+,+,11.789844223989995,19.893335294087144
142,Twenty One Pilots,Pet Cheetah,+,+,+,+,-,+,+,-,+,+,+,-25.463461754902383,38.93862119200664
143,Stone Temple Pilots,Naked Sunday - Demo,-,-,+,=,-,+,-,+,-,+,+,-0.257027387979488,9.436208371174779
144,Despair,Andy Warhol,-,+,+,+,-,+,+,-,-,+,+,20.818465034481317,-11.852211539754117
145,Silverchair,Slab - Nicklaunoise Mix,-,+,+,+,-,+,-,-,-,+,+,19.46810839206661,-4.968373216159503
146,Charles Murdoch,Straws,-,+,+,=,-,-,+,+,-,-,+,2.8142999047109325,-16.652747523157174
147,From P-60,Magic - Jarred Gallo Remix (Mixed),-,+,+,=,-,+,+,-,-,+,+,3.1388909374321043,-13.461123978637914
148,Michael McDonald,Ain't No Good,-,+,+,+,-,-,-,-,-,+,+,13.45936360280725,3.7788818732756866
149,Bulletboys,For the Love of Money - Re-Recorded,-,+,+,+,-,-,+,-,-,+,+,-24.036267409125234,-19.671461264031752
150,Brooks & Dunn,The Trouble with Angels,-,+,+,+,-,-,+,-,-,+,+,-18.603506617886932,-6.838752363410657
151,Placebo,Broken Promise,-,+,+,+,-,+,-,-,-,-,+,-12.542272953582618,-14.537723086789523
152,Muddy Waters,Got My Mojo Working - Live,-,+,+,+,-,+,+,-,+,+,+,10.649187631154186,18.55266890136948
153,Ultravox,Astradyne,-,+,+,+,-,-,-,+,-,+,+,6.770691706587028,5.10056119090665
154,Travis,Afterglow,-,-,-,+,-,-,+,-,+,-,+,-18.967051028353378,9.622635567782329
155,Danzig,Soul On Fire,-,+,-,+,-,+,-,-,+,-,+,10.066442684478606,28.74767110477515
156,Zoogma,Jaguar (Live) [feat. Michal Menert & Jubee],-,+,+,+,-,-,-,-,-,+,+,18.301541461335873,-8.38356020371194
157,Christopher Lennertz,"Penis Shaped Food (feat. Stefan Lessard, Money Mark & Matt Chamberlain)",-,+,+,+,-,+,-,+,-,+,+,29.891244029082646,-9.435016296773265
158,John McLaughlin,The Dance of Maya,-,-,+,+,-,-,+,+,+,+,+,14.843356163393281,-4.132393716060346
159,Whitesnake,Cheap an' Nasty,-,+,+,+,-,+,+,-,+,+,+,15.321477920355525,-5.039201481327841
160,Zac Brown Band,Day for the Dead,-,+,-,=,-,-,+,-,-,+,+,-3.3984226234116504,13.773636827909398
161,The Orkids,Lack of Faith,-,+,+,=,-,+,-,-,+,+,+,-0.06638197707860222,-17.421273461540654
162,DAF,Bild 3,-,-,+,+,-,+,+,+,+,+,+,24.84394678633764,-10.78054104967727
163,Sepultura,Stronger Than Hate - 2020 Remaster,-,-,+,+,-,+,-,-,-,+,+,-27.981943464125084,-4.164498628824901
164,Stan Bush,The Story of Love,-,+,-,-,+,-,+,-,-,-,-,-42.26135271325695,-23.495506802009643
165,Radiohead,Where I End and You Begin,-,+,+,=,-,-,+,+,-,+,+,-11.404038263440105,30.267061458873602
166,The Go-Go's,This Old Feeling,-,+,+,+,-,+,-,-,-,+,+,13.883033873900539,9.066076377799446
167,Bo Diddley,Bite You,-,+,+,+,-,+,-,-,+,+,+,-12.747418850358311,-4.24298092047322
168,Interpol,Leif Erikson,-,+,+,+,-,-,+,+,-,+,+,-22.0232811670984,20.192355537450247
169,Machine Head,Only the Names,-,+,-,+,-,-,+,-,-,-,+,-32.32081324243234,-2.216908368180143
170,Sia,Under the Milky Way,-,+,-,+,-,-,+,-,-,+,+,19.952451109419403,-11.048496985909445
171,Graham Parker,Ordinary Girl,-,+,+,+,-,-,+,-,+,+,+,20.06869260022649,-8.948052784885279
