,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
223,∆RTHUR,Destroy All Humans!,-,+,+,+,-,+,-,-,+,-,+,-16.652606558270033,-21.843369204020977
224,Twenty One Pilots,Levitate,+,+,+,+,-,+,+,-,-,+,+,-42.7979175454957,37.422026483583274
225,Incubus,Summer Romance (Anti-Gravity Love Song),+,+,+,+,-,-,-,-,-,+,+,-22.83629681877945,29.290009164864237
226,Paul Young,Everything Must Change,-,+,+,+,-,-,+,-,+,+,+,27.357478450969126,16.798262155016587
227,Les McCann,What's Going On,-,+,+,+,-,+,+,-,-,+,+,33.81340570195663,-8.388156055408546
228,Martin Garrix,There For You - Lione Remix,-,+,+,+,-,-,-,-,-,+,+,-30.37638763426008,2.441322672586067
229,Nirvana,Aero Zeppelin,-,-,+,=,-,+,-,+,-,-,+,-14.7964507478404,23.153856332995833
230,David Allan Coe,"Soul Shine - Live at Billy Bob's Texas, Forth Worth, TX",-,+,+,+,-,-,-,-,+,+,+,12.822370911824757,3.6091288068069893
231,Erica Nicole,I'm Making Mine,-,+,+,+,-,-,+,-,+,+,+,-25.644314588346553,-23.205173235710003
232,King Crimson,The ConstruKction of Light (Live in Chicago 28 June 2017),-,+,+,+,-,-,+,+,+,+,+,37.00415688967296,-0.29397320717246234
233,Phish,Mike's Song,-,+,+,+,-,-,-,+,+,+,+,-26.608788301886207,-7.939177724805107
234,Sons Of The East,Lost Cause,-,+,+,=,-,-,+,-,-,+,+,-2.874375117690674,20.122591708424014
235,Albert Hammond Jr,Rocket,-,+,+,+,-,-,-,-,-,+,+,-13.015850981625077,-4.314552212107959
236,Carmine Appice,Killing Time,-,+,+,+,-,+,-,-,-,+,+,-5.916744983181123,-17.945141048482323
237,Lakker,A Juggling of Numbers,-,+,+,+,-,+,+,+,+,+,+,11.659813892903717,12.61183456253411
238,Sultans Of Ping F.C.,Where's Me Jumper?,-,+,+,+,-,+,+,-,-,+,+,44.027724787924974,26.418012843725194
239,Reel People,Perfect Sky featuring Joy Rose,-,+,+,+,-,+,+,-,-,-,+,-30.01285752055414,-18.16004893178228
